region,province,congressional_district,no_name,name_of_institution,classification_of_institution,address,contact_number,sector,course_registered_program,duration,status
ARMM,Maguindanao,1st,10,Language Skills Institute - ZCLO,TESDA Technology Institution,"2nd Floor, LHB II Building, Veterans Avenue, Brgy. Zone 3, Zamboanga City",(062)990-2959,Others (Language),English Language Skills,100 hours,NTR
ARMM,Maguindanao,1st,10,Language Skills Institute - ZCLO,TESDA Technology Institution,"2nd Floor, LHB II Building, Veterans Avenue, Brgy. Zone 3, Zamboanga City",(062)990-2959,Others (Language),Mandarin Chinese Language and Culture,100 hours,NTR
ARMM,Maguindanao,1st,10,Language Skills Institute - ZCLO,TESDA Technology Institution,"2nd Floor, LHB II Building, Veterans Avenue, Brgy. Zone 3, Zamboanga City",(062)990-2959,Others (Language),Arabic Language and Saudi/Gulf Culture,100 hours,NTR
ARMM,Maguindanao,1st,10,Language Skills Institute - ZCLO,TESDA Technology Institution,"2nd Floor, LHB II Building, Veterans Avenue, Brgy. Zone 3, Zamboanga City",(062)990-2959,ICT,Contact Center Services NC II,144 hours,WTR
ARMM,Maguindanao,1st,30,Zamboanga City Laiason Office/Language Skills Institute,TVI,"2/F LHB Bldg., Veterans Ave., Zamboanga City",(062)990-2959,ICT,Contact Center Services NC II,356 hours,WTR
ARMM,Sulu,1st,31,Computer Graphics Learning Center,TVI,"Capitol Site, Patikul, Sulu",09205686385/ 09154266256,ICT,Computer Based English Proficiency,100 hours,NTR
ARMM,Sulu,1st,31,Computer Graphics Learning Center,TVI,"Capitol Site, Patikul, Sulu",09205686385/ 09154266256,Construction,Technical Drafting NC II,148 hours,WTR
ARMM,Sulu,1st,31,Computer Graphics Learning Center,TVI,"Capitol Site, Patikul, Sulu",09205686385/ 09154266256,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II,206 hours,WTR
ARMM,Sulu,1st,31,Computer Graphics Learning Center,TVI,"Capitol Site, Patikul, Sulu",09205686385/ 09154266256,Electrical & Electronics,Electrical Installation & Maintenance NC II,402 hours,WTR
ARMM,Sulu,1st,31,Computer Graphics Learning Center,TVI,"Capitol Site, Patikul, Sulu",09205686385/ 09154266256,Electrical & Electronics,Computer Systems Servicing NC II,280 hours,WTR
ARMM,Maguindanao,2nd,32,"Darussalam Institute of Technology, Inc.",TVI,"Dapiawan, Datu Saudi Ampatuan, Maguindanao",None,"Health, Social  & Other Community Dev't. Services",Domestic Work NC II,218 hours,WTR
ARMM,Maguindanao,2nd,32,"Darussalam Institute of Technology, Inc.",TVI,"Dapiawan, Datu Saudi Ampatuan, Maguindanao",None,Automotive and Land Transportation,Driving NC II,118 hours,WTR
ARMM,Maguindanao,1st,33,"Foureych Technical Vocational and Learning Center, Inc.",TVI,"Brgy. Semba, Datu Odin Sinsuat, Maguindanao",None,Automotive and Land Transportation,Driving NC II,118 hours,WTR
ARMM,Maguindanao,1st,33,"Foureych Technical Vocational and Learning Center, Inc.",TVI,"Brgy. Semba, Datu Odin Sinsuat, Maguindanao",None,Electrical and Electronics,Electrical Installation & Maintenance NC II,402 hours,WTR
ARMM,Sulu,2nd,34,"Central Sulu College, Inc.",TVI,"Siasi, Sulu",(+63) 9082642237,Human Health/Health Care,Health Care Services NC II,996 hours,WTR
ARMM,Sulu,1st,35,Provincial Livelihood Training & Productivity Center,GOCC/GFI,"Tanjung, Indanan, Sulu",(+63) 9068204254/ (+63) 9102808624,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II,304 hours,WTR
ARMM,Sulu,1st,35,Provincial Livelihood Training & Productivity Center,GOCC/GFI,"Tanjung, Indanan, Sulu",(+63) 9068204254/ (+63) 9102808624,Electrical & Electronics,Electrical Installation & Maintenance NC II,402 hours,WTR
ARMM,Sulu,1st,35,Provincial Livelihood Training & Productivity Center,GOCC/GFI,"Tanjung, Indanan, Sulu",(+63) 9068204254/ (+63) 9102808624,Electrical & Electronics,Electrical Installation & Maintenance NC III,396 hours,WTR
ARMM,Tawi-Tawi,Lone,36,Abubakar Computer Learning Center Foundation Inc.,TVI,"Simandagit, Bongao, Tawi-Tawi",None,ICT,Computer Hardware Servicing NC II,356 hours,WTR
ARMM,Maguindanao,1st,37,Illana Bay Integrated Computer College Inc.,TVI,"Poblacion 1 Tomawis Bldg. Parang, Maguindanao",(+63) 9096953419,"Social, Community Dev't. & Other Services",Household Services NC II,372 hours,WTR
ARMM,Maguindanao,1st,37,Illana Bay Integrated Computer College Inc.,HEI,"Poblacion 1 Tomawis Bldg. Parang, Maguindanao",(+63) 9096953419,Construction,Carpentry NC II,162 hours,WTR
ARMM,Maguindanao,1st,37,Illana Bay Integrated Computer College Inc.,HEI,"Poblacion 1 Tomawis Bldg. Parang, Maguindanao",(+63) 9096953419,Automotive and Land Transportation,Driving NC II,118 hours,WTR
ARMM,Maguindanao,1st,37,Illana Bay Integrated Computer College Inc.,HEI,"Poblacion 1 Tomawis Bldg. Parang, Maguindanao",(+63) 9096953419,Construction,Masonry NC II,258 hours,WTR
ARMM,Maguindanao,1st,37,Illana Bay Integrated Computer College Inc.,HEI,"Poblacion 1 Tomawis Bldg. Parang, Maguindanao",(+63) 9096953419,Electrical & Electronics,Computer Systems Servicing NC II,280 hours,WTR
ARMM,Maguindanao,1st,37,Illana Bay Integrated Computer College Inc.,HEI,"Poblacion 1 Tomawis Bldg. Parang, Maguindanao",(+63) 9096953419,Construction,Plumbing NC II,202 hours,WTR
ARMM,Maguindanao,1st,37,Illana Bay Integrated Computer College Inc.,HEI,"Poblacion 1 Tomawis Bldg. Parang, Maguindanao",(+63) 9096953419,Electrical & Electronics,Electrical Installation & Maintenance NC II,402 hours,WTR
ARMM,Maguindanao,1st,37,Illana Bay Integrated Computer College Inc.,HEI,"Poblacion 1 Tomawis Bldg. Parang, Maguindanao",(+63) 9096953419,Automotive and Land Transportation,Motorcycle/Small Engine Servicing NC II,278 hours,WTR
ARMM,Maguindanao,1st,37,Illana Bay Integrated Computer College Inc.,HEI,"Poblacion 1 Tomawis Bldg. Parang, Maguindanao",(+63) 9096953419,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II,268 hours,WTR
ARMM,Lanao del Sur,1st,38,"Inandang Folklore Promotions Service Training and Assessment Centre, Inc.",TVI,"New Capitol Complex, Buadisacayo, Marawi City, Lanao del Sur",None,Tourism,Bread & Pastry Production NC II,141 hours,WTR
ARMM,Sulu,1st,39,"Indanan Skills Training Center, Inc.",TVI,"Kajatian, Indanan Sulu",None,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II,206 hours,WTR
ARMM,Sulu,1st,39,"Indanan Skills Training Center, Inc.",TVI,"Kajatian, Indanan Sulu",None,Automotive and Land Transportation,Motorcycle/Small Engine Servicing NC II ,278 hours,WTR
ARMM,Sulu,1st,39,"Indanan Skills Training Center, Inc.",TVI,"Kajatian, Indanan Sulu",None,Tourism,Bread & Pastry Production NC II,141 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Human Health/Health Care,Caregiving NC II,786 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Human Health/Health Care,Health Care Services NC II,996 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II,304 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,HVAC/R,RAC Servicing NC I,242 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,"Social, Community Dev't. & Other Services",Household Services NC II,372 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Tourism,Bartending NC II,286 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Electrical & Electronics,Consumer Electronics Servicing NC II,438 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Garments,Dressmaking NC II,275 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Automotive and Land Transportation,Motorcycle/Small Engine Servicing NC II ,278 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Automotive and Land Transportation,Automotive Servicing NC I,288 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Processed Foods and Beverage,Food Processing NC II,568 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Tourism,Housekeeping NC III,76 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Electrical & Electronics,Electrical Installation & Maintenance NC II,402 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Construction,PV Systems Installation NC II,284 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,"Agriculture, Forestry and Fishery",Agricultural Crops Production NC I,302 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Human Health/Health Care,Barangay Health Services NC II,275 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Human Health/Health Care,Massage Therapy NC II,560 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,"Social, Community Dev't. & Other Services",Security Services NC II,223 Hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Tourism,Tour Guiding Services NC II,196 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,"Social, Community Dev't. & Other Services",Barbering NC II,456 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Construction,Masonry NC I,104 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,"Social, Community Dev't. & Other Services",Bookkeeping NC III,292 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Tourism,Bread & Pastry Production NC II,141 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Construction,Carpentry NC II,162 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Electrical & Electronics,Computer Systems Servicing NC II,280 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Tourism,Cookery NC II,316 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Tourism,Food & Beverage Services NC II,356 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Tourism,Housekeeping NC II,436 hours,WTR
ARMM,Tawi-tawi,Lone,40,"Mahardika Institute of Technology, Inc.",HEI,"ILMOH Street, Lamion, Bongao, Tawi-Tawi",(068) 268-1259,Construction,Plumbing NC II,202 hours,WTR
ARMM,Maguindanao,1st,27,Regional Manpower Development Center,TESDA Technology Institution,"RMDC, Brgy. Rebuken, Municipality of Sultan Kudarat, Maguindanao",(064) 429-0091,Metals and Engineering,Machining NC II,307 hours,WTR
